2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
89,WinstonâSalem,North Carolina,246328,229617,+7.28%,132.5sqmi 343.2km2,"1,828/sqmi 706/km2","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","Winston-Salem is a city in and the county seat of Forsyth County, North Carolina, United States."
90,North Las Vegas,Nevada,245949,216961,+13.36%,98.0sqmi 253.8km2,"2,436/sqmi 941/km2","https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada","North Las Vegas  is a city in Clark County, Nevada, United States, in the Las Vegas Valley."
91,Norfolk,Virginia,244076,242803,+0.52%,53.3sqmi 138.0km2,"4,599/sqmi 1,776/km2",https://en.wikipedia.org/wiki/Norfolk,Norfolk () is a county in East Anglia in England.
93,Garland,Texas,242507,226876,+6.89%,57.0sqmi 147.6km2,"4,122/sqmi 1,592/km2",https://en.wikipedia.org/wiki/Garland,"A garland is a decorative wreath of flowers, leaves, or other material."
95,Hialeah,Florida,238942,224669,+6.35%,21.5sqmi 55.7km2,"10,995/sqmi 4,245/km2","https://en.wikipedia.org/wiki/Hialeah,_Florida","Hialeah ( ) is a city in Miami-Dade County, Florida, United States."
97,Boise,Idaho,228790,205671,+11.24%,82.1sqmi 212.6km2,"2,718/sqmi 1,049/km2","https://en.wikipedia.org/wiki/Boise,_Idaho","Boise ( (listen)) is the capital and most populous city of the U.S. state of Idaho, and is the county seat of Ada County."
99,Baton Rouge,Louisiana,221599,229493,-3.44%,85.9sqmi 222.5km2,"2,651/sqmi 1,024/km2","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Baton Rouge ( BAT-ən ROOZH; from French  bâton rouge [bɑtɔ̃ ʁuʒ] (listen), meaning 'red stick') is the capital of the U.S. state of Louisiana."
100,Spokane,Washington,219190,208916,+4.92%,68.7sqmi 177.9km2,"3,144/sqmi 1,214/km2","https://en.wikipedia.org/wiki/Spokane,_Washington",Spokane ( (listen) spoh-KAN) is a city in Spokane County in the state of Washington in the northwestern United States.
101,Des Moines,Iowa,216853,203433,+6.60%,88.9sqmi 230.2km2,"2,424/sqmi 936/km2","https://en.wikipedia.org/wiki/Des_Moines,_Iowa",Des Moines ( (listen)) is the capital and the most populous city in the U.S. state of Iowa.
102,Tacoma,Washington,216279,198397,+9.01%,49.7sqmi 128.7km2,"4,251/sqmi 1,641/km2","https://en.wikipedia.org/wiki/Tacoma,_Washington","Tacoma ( tə-KOH-mə) is a mid-sized urban port city and the county seat of Pierce County, Washington, United States."
103,San Bernardino,California,215941,209924,+2.87%,61.5sqmi 159.3km2,"3,516/sqmi 1,358/km2","https://en.wikipedia.org/wiki/San_Bernardino,_California","San Bernardino () is a city located in the Riverside–San Bernardino metropolitan area (sometimes called the ""Inland Empire"") and that serves as the county seat of San Bernardino County, California, United States."
104,Modesto,California,215030,201165,+6.89%,43.0sqmi 111.4km2,"4,934/sqmi 1,905/km2","https://en.wikipedia.org/wiki/Modesto,_California","Modesto  (Spanish for ""modest""), officially the City of Modesto, is the county seat and largest city of Stanislaus County, California, United States."
106,Santa Clarita,California,210089,176320,+19.15%,52.8sqmi 136.8km2,"3,446/sqmi 1,331/km2",https://en.wikipedia.org/wiki/Santa_Clarita_Diet,"Santa Clarita Diet is an American horror-comedy web television series created by Victor Fresco for the streaming service Netflix, starring  Drew Barrymore and Timothy Olyphant."
107,Birmingham,Alabama,209880,212237,-1.11%,146.1sqmi 378.4km2,"1,452/sqmi 561/km2",https://en.wikipedia.org/wiki/Birmingham,"Birmingham ( (listen), locally also: ) is the second-most populous city in the United Kingdom, after London, and the most populous city in the English Midlands."
108,Oxnard,California,209877,197899,+6.05%,26.9sqmi 69.7km2,"7,729/sqmi 2,984/km2",https://en.wikipedia.org/wiki/Oxford,Oxford ( OKS-fərd) is a university city in south central England and the county town of Oxfordshire.
109,Fayetteville,North Carolina,209468,200564,+4.44%,147.7sqmi 382.5km2,"1,386/sqmi 535/km2","https://en.wikipedia.org/wiki/Fayetteville,_Arkansas",Fayetteville is the third-largest city in Arkansas and county seat of Washington County.
110,Moreno Valley,California,209050,193365,+8.11%,51.3sqmi 132.9km2,"4,006/sqmi 1,547/km2","https://en.wikipedia.org/wiki/Moreno_Valley,_California","Moreno Valley is a city located in Riverside County, California, and is part of the San Bernardino-Riverside Metropolitan Area."
112,Glendale,California,201361,191719,+5.03%,30.4sqmi 78.7km2,"6,606/sqmi 2,551/km2","https://en.wikipedia.org/wiki/Glendale,_California","Glendale  is a city in Los Angeles County, California, United States."
113,Huntington Beach,California,200641,189992,+5.60%,26.9sqmi 69.7km2,"7,459/sqmi 2,880/km2","https://en.wikipedia.org/wiki/Huntington_Beach,_California",Huntington Beach is a seaside city in Orange County in Southern California.
114,Salt Lake City,Utah,200591,186440,+7.59%,111.2sqmi 288.0km2,"1,742/sqmi 673/km2",https://en.wikipedia.org/wiki/Salt_Lake_City,"Salt Lake City (often shortened to Salt Lake and abbreviated as SLC) is the capital and most populous municipality of the U.S. state of Utah, and county seat of Salt Lake County."
115,Grand Rapids,Michigan,200217,188040,+6.48%,44.4sqmi 115.0km2,"4,424/sqmi 1,708/km2","https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan",Grand Rapids is the second-largest city in Michigan and the largest city in West Michigan.
116,Amarillo,Texas,199924,190695,+4.84%,101.4sqmi 262.6km2,"1,968/sqmi 760/km2","https://en.wikipedia.org/wiki/Amarillo,_Texas","Amarillo ( AM-ə-RIL-oh) is the 14th-most populous city in the state of Texas, United States."
117,Yonkers,New York,199663,195976,+1.88%,18.0sqmi 46.6km2,"11,156/sqmi 4,307/km2","https://en.wikipedia.org/wiki/Yonkers,_New_York","Yonkers () is a city in Westchester County, New York."
118,Aurora,Illinois,199602,197899,+0.86%,44.9sqmi 116.3km2,"4,479/sqmi 1,729/km2",https://en.wikipedia.org/wiki/Aurora,"An aurora (plural: auroras or aurorae), sometimes referred to as polar lights, northern lights (aurora borealis), southern lights (aurora australis), is a natural light display in the Earth's sky, predominantly seen in the high-latitude regions (around the Arctic and Antarctic)."
120,Akron,Ohio,198006,199110,-0.55%,62.0sqmi 160.6km2,"3,188/sqmi 1,231/km2","https://en.wikipedia.org/wiki/Akron,_Ohio",Akron () is the fifth-largest city in the U.S. state of Ohio and is the county seat of Summit County.
121,Little Rock,Arkansas,197881,193524,+2.25%,118.7sqmi 307.4km2,"1,673/sqmi 646/km2","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas",Little Rock is the capital and most populous city of the U.S. state of Arkansas.
122,Huntsville,Alabama,197318,180105,+9.56%,213.4sqmi 552.7km2,905/sqmi 349/km2,"https://en.wikipedia.org/wiki/Huntsville,_Alabama",Huntsville is a city located primarily in Madison County in the Appalachian region of northern Alabama.
124,Port St. Lucie,Florida,195248,164603,+18.62%,118.9sqmi 307.9km2,"1,557/sqmi 601/km2","https://en.wikipedia.org/wiki/Port_St._Lucie,_Florida",Port St.
125,Grand Prairie,Texas,194614,175396,+10.96%,72.3sqmi 187.3km2,"2,637/sqmi 1,018/km2","https://en.wikipedia.org/wiki/Grand_Prairie,_Texas","Grand Prairie is a city in Dallas County, Tarrant County, and Ellis County, Texas, in the United States."
127,Tallahassee,Florida,193551,181376,+6.71%,100.4sqmi 260.0km2,"1,901/sqmi 734/km2","https://en.wikipedia.org/wiki/Tallahassee,_Florida",Tallahassee () is the capital city of the U.S. state of Florida.
128,Overland Park,Kansas,192536,173372,+11.05%,75.1sqmi 194.5km2,"2,516/sqmi 971/km2","https://en.wikipedia.org/wiki/Overland_Park,_Kansas",Overland Park is the second most populous city in the U.S. state of Kansas.
129,Tempe,Arizona,192364,161719,+18.95%,40.0sqmi 103.6km2,"4,562/sqmi 1,761/km2",https://en.wikipedia.org/wiki/Temple,A temple (from the Latin word templum) is a building reserved for religious or spiritual rituals and activities such as prayer and sacrifice.
130,McKinney,Texas,191645,131117,+46.16%,63.0sqmi 163.2km2,"2,735/sqmi 1,056/km2","https://en.wikipedia.org/wiki/McKinney,_Texas","McKinney is a city in and the county seat of Collin County, Texas, United States."
132,Cape Coral,Florida,189343,154305,+22.71%,105.6sqmi 273.5km2,"1,703/sqmi 658/km2","https://en.wikipedia.org/wiki/Cape_Coral,_Florida","Cape Coral  is a city located in Lee County, Florida, United States, on the Gulf of Mexico."
133,Shreveport,Louisiana,188987,199311,-5.18%,107.1sqmi 277.4km2,"1,820/sqmi 700/km2","https://en.wikipedia.org/wiki/Shreveport,_Louisiana",Shreveport ( SHREEV-port) is a city in the U.S. state of Louisiana.
134,Frisco,Texas,188170,116989,+60.84%,67.7sqmi 175.3km2,"2,417/sqmi 933/km2","https://en.wikipedia.org/wiki/Frisco,_Texas",Frisco is a city in Collin and Denton counties in Texas.
135,Knoxville,Tennessee,187500,178874,+4.82%,98.5sqmi 255.1km2,"1,891/sqmi 730/km2","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Knoxville is a city in the U.S. state of Tennessee, and the county seat of Knox County."
136,Worcester,Massachusetts,185877,181045,+2.67%,37.4sqmi 96.9km2,"4,933/sqmi 1,905/km2",https://en.wikipedia.org/wiki/Worcester,"Worcester ( (listen) WUUS-tər) is a city in  Worcestershire, England, 31 miles (50 km) southwest of Birmingham, 101 miles (163 km) west-northwest of London, 27 miles (43 km) north of Gloucester and 23 miles (37 km) northeast of Hereford."
137,Brownsville,Texas,183392,175023,+4.78%,132.5sqmi 343.2km2,"1,387/sqmi 536/km2","https://en.wikipedia.org/wiki/Brownsville,_Texas",Brownsville () is a city in Cameron County in the U.S. state of Texas.
138,Vancouver,Washington,183012,161791,+13.12%,46.9sqmi 121.5km2,"3,728/sqmi 1,439/km2",https://en.wikipedia.org/wiki/Vancouver,"Vancouver ( (listen)) is a coastal seaport city in western Canada, located in the Lower Mainland region of British Columbia."
139,Fort Lauderdale,Florida,182595,165521,+10.32%,34.6sqmi 89.6km2,"5,166/sqmi 1,995/km2","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Fort Lauderdale () is a city in the U.S. state of Florida,  28 miles (45 km) north of Miami."
140,Sioux Falls,South Dakota,181883,153888,+18.19%,75.4sqmi 195.3km2,"2,312/sqmi 893/km2","https://en.wikipedia.org/wiki/Sioux_Falls,_South_Dakota","Sioux Falls () (Lakota: Íŋyaŋ Okábleča Otȟúŋwahe; ""Stone Shatter City"") is the most populous city in the U.S. state of South Dakota and the 143rd-most populous city in the United States."
141,Ontario,California,181107,163924,+10.48%,49.9sqmi 129.2km2,"3,471/sqmi 1,340/km2",https://en.wikipedia.org/wiki/Ontario,Ontario ( (listen); French pronunciation: [ɔ̃taʁjo]) is one of the 13 provinces and territories of Canada and is located in east-central Canada.
142,Chattanooga,Tennessee,180557,167674,+7.68%,143.1sqmi 370.6km2,"1,241/sqmi 479/km2","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Chattanooga is a city located in Hamilton County, southeastern Tennessee, along the Tennessee River bordering Georgia."
144,Newport News,Virginia,178626,180719,-1.16%,69.1sqmi 179.0km2,"2,631/sqmi 1,016/km2","https://en.wikipedia.org/wiki/Newport_News,_Virginia",Newport News is an independent city in the U.S. state of Virginia.
145,Rancho Cucamonga,California,177751,165269,+7.55%,40.0sqmi 103.6km2,"4,413/sqmi 1,704/km2","https://en.wikipedia.org/wiki/Rancho_Cucamonga,_California","Rancho Cucamonga is a city of about 177,000 residents located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County, California, United States."
146,Santa Rosa,California,177586,167815,+5.82%,41.3sqmi 107.0km2,"4,241/sqmi 1,637/km2","https://en.wikipedia.org/wiki/Santa_Rosa,_California",Santa Rosa (lit.
147,Oceanside,California,176080,167086,+5.38%,41.3sqmi 107.0km2,"4,249/sqmi 1,641/km2","https://en.wikipedia.org/wiki/Oceanside,_California",Oceanside is a coastal city located on California's South Coast.
149,Elk Grove,California,172886,153015,+12.99%,42.2sqmi 109.3km2,"4,022/sqmi 1,553/km2","https://en.wikipedia.org/wiki/Elk_Grove,_California","Elk Grove is a city in Sacramento County, California, located just south of the state capital of Sacramento."
150,Garden Grove,California,172646,170883,+1.03%,18.0sqmi 46.6km2,"9,714/sqmi 3,751/km2","https://en.wikipedia.org/wiki/Garden_Grove,_California","Garden Grove is a city in northern Orange County, California, United States, located 34 miles (55 km) southeast of the city of Los Angeles in the Los Angeles metropolitan area."
151,Pembroke Pines,Florida,172374,154019,+11.92%,33.0sqmi 85.5km2,"5,109/sqmi 1,973/km2","https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida","Pembroke Pines is a city in southern Broward County, Florida, United States."
154,Corona,California,168819,152374,+10.79%,39.5sqmi 102.3km2,"4,222/sqmi 1,630/km2",https://en.wikipedia.org/wiki/Corona,"A corona (Latin, 'crown') is an aura of plasma that surrounds the Sun and other stars."
157,Fort Collins,Colorado,167830,143986,+16.56%,55.8sqmi 144.5km2,"2,943/sqmi 1,136/km2","https://en.wikipedia.org/wiki/Fort_Collins,_Colorado","Fort Collins is the Home Rule Municipality that is the county seat and the most populous municipality of Larimer County, Colorado, United States."
159,Alexandria,Virginia,160530,139966,+14.69%,15.0sqmi 38.8km2,"10,387/sqmi 4,010/km2",https://en.wikipedia.org/wiki/Alexandria,"Alexandria ( or ; Egyptian Arabic: إسكندريه‎ Eskendereyya; Arabic: الإسكندرية‎ al-ʾIskandariyya; Coptic: ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ Alexandria or ⲣⲁⲕⲟϯ Rakote) is the second-largest city in Egypt and a major economic centre, extending about 32 km (20 mi) along the coast of the Mediterranean Sea in the north central part of the country."
164,Palmdale,California,156667,152750,+2.56%,106.0sqmi 274.5km2,"1,484/sqmi 573/km2","https://en.wikipedia.org/wiki/Palmdale,_California",Palmdale is a city in northern Los Angeles County in the U.S. state of California.
167,Hollywood,Florida,154823,140768,+9.98%,27.3sqmi 70.7km2,"5,568/sqmi 2,150/km2",https://en.wikipedia.org/wiki/Hollywood,"Hollywood is a neighborhood in the central region of Los Angeles, California, notable as the home of the U.S. film industry, including several of its historic studios."
168,Pasadena,Texas,153219,149043,+2.80%,43.5sqmi 112.7km2,"3,525/sqmi 1,361/km2","https://en.wikipedia.org/wiki/Pasadena,_California","Pasadena  is a city in Los Angeles County, California, United States, located 10 miles (16 kilometers) northeast of Downtown Los Angeles."
169,Sunnyvale,California,153185,140081,+9.35%,22.0sqmi 57.0km2,"6,944/sqmi 2,681/km2","https://en.wikipedia.org/wiki/Sunnyvale,_California","Sunnyvale () is a city located in Santa Clara County, California."
170,Macon,Georgia,153095,91351,+67.59%,249.3sqmi 645.7km2,612/sqmi 236/km2,https://en.wikipedia.org/wiki/M%C3%A2con,"Mâcon (French pronunciation: ​[mɑ.kɔ̃]), historically anglicised as Mascon, is a city in east-central France."
171,Kansas City,Kansas,152958,145786,+4.92%,124.8sqmi 323.2km2,"1,216/sqmi 470/km2",https://en.wikipedia.org/wiki/Kansas_City_metropolitan_area,"The Kansas City metropolitan area is a 14 county metropolitan area anchored by Kansas City, Missouri, and straddling the border between the U.S. states of Missouri and Kansas."
172,Pomona,California,152361,149058,+2.22%,23.0sqmi 59.6km2,"6,630/sqmi 2,560/km2","https://en.wikipedia.org/wiki/Pomona,_California","Pomona () is a city in Los Angeles County, California, United States."
173,Escondido,California,152213,143911,+5.77%,37.1sqmi 96.1km2,"4,087/sqmi 1,578/km2","https://en.wikipedia.org/wiki/Escondido,_California","Escondido ( ES-kən-DEE-doh) is a city located in San Diego County's North County region, 30 miles (48 km) northeast of downtown San Diego."
174,Killeen,Texas,149103,127921,+16.56%,53.5sqmi 138.6km2,"2,680/sqmi 1,030/km2","https://en.wikipedia.org/wiki/Killeen,_Texas","Killeen is a city in Bell County, Texas, United States."
175,Naperville,Illinois,148304,141853,+4.55%,38.7sqmi 100.2km2,"3,802/sqmi 1,468/km2","https://en.wikipedia.org/wiki/Naperville,_Illinois",Naperville () is a city in DuPage and Will counties in the U.S. state of Illinois.
176,Joliet,Illinois,148099,147433,+0.45%,64.4sqmi 166.8km2,"2,302/sqmi 889/km2","https://en.wikipedia.org/wiki/Joliet,_Illinois","Joliet () is a city in Will and Kendall counties in the U.S. state of Illinois, 30 miles (48 km) southwest of Chicago."
178,Rockford,Illinois,146526,152871,-4.15%,63.5sqmi 164.5km2,"2,325/sqmi 898/km2","https://en.wikipedia.org/wiki/Rockford,_Illinois","Rockford is a city in Winnebago County in the U.S. state of Illinois, in far northern Illinois."
179,Savannah,Georgia,145862,136286,+7.03%,103.6sqmi 268.3km2,"1,417/sqmi 547/km2","https://en.wikipedia.org/wiki/Savannah,_Georgia",Savannah () is the oldest city in the U.S. state of Georgia and is the county seat of Chatham County.
181,Torrance,California,145182,145438,-0.18%,20.5sqmi 53.1km2,"7,180/sqmi 2,770/km2","https://en.wikipedia.org/wiki/Torrance,_California","Torrance is a U.S. city in the South Bay (southwestern) region of Los Angeles County, California in the Los Angeles metropolitan area."
182,Bridgeport,Connecticut,144900,144229,+0.47%,16.1sqmi 41.7km2,"9,064/sqmi 3,500/km2","https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",Bridgeport is a historic seaport city in the U.S. state of Connecticut.
183,McAllen,Texas,143433,129877,+10.44%,58.4sqmi 151.3km2,"2,435/sqmi 940/km2","https://en.wikipedia.org/wiki/McAllen,_Texas","McAllen is the largest city in Hidalgo County, Texas, United States, and the 22nd-most populous city in Texas."
184,Mesquite,Texas,142816,139824,+2.14%,47.2sqmi 122.2km2,"3,045/sqmi 1,176/km2",https://en.wikipedia.org/wiki/Mesquite,"Mesquite is a common name for several plants in the genus Prosopis, which contains over 40 species of small leguminous trees."
187,Pasadena,California,141371,137122,+3.10%,23.0sqmi 59.6km2,"6,176/sqmi 2,385/km2","https://en.wikipedia.org/wiki/Pasadena,_California","Pasadena  is a city in Los Angeles County, California, United States, located 10 miles (16 kilometers) northeast of Downtown Los Angeles."
188,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9sqmi 144.8km2,"2,360/sqmi 910/km2","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","Murfreesboro is a city in, and the county seat of, Rutherford County, Tennessee, United States."
190,Dayton,Ohio,140640,141527,-0.63%,55.7sqmi 144.3km2,"2,522/sqmi 974/km2","https://en.wikipedia.org/wiki/Dayton,_Ohio",Dayton () is the sixth-largest city in the state of Ohio and the county seat of Montgomery County.
